username,selectedThemes
Lindsay Phillips,"['7_IoT', '20_E-commerce/Retail', '25_Web', '26_Mobile', '22_Open Ended', '5_AR/VR', '16_Health', '13_Social Good', '17_Low/No Code', '9_Cybersecurity', '15_Music/Art', '14_COVID-19', '10_Communication', '6_Machine Learning/AI', '4_Gaming', '2_DevOps', '11_Productivity', '1_Blockchain', '24_Quantum', '21_Enterprise', '3_Fintech', '27_Robotic Process Automation', '12_Lifehacks', '28_Databases']"
Brandon Cruz,"['10_Communication', '23_Beginner Friendly', '17_Low/No Code', '15_Music/Art', '21_Enterprise', '28_Databases', '20_E-commerce/Retail', '13_Social Good', '8_Voice skills', '6_Machine Learning/AI', '5_AR/VR', '2_DevOps', '12_Lifehacks', '4_Gaming', '3_Fintech', '24_Quantum', '16_Health', '27_Robotic Process Automation', '1_Blockchain', '19_Education', '9_Cybersecurity', '14_COVID-19', '26_Mobile', '25_Web']"
Gregory Weber,"['26_Mobile', '8_Voice skills', '12_Lifehacks', '18_Design', '23_Beginner Friendly', '27_Robotic Process Automation', '16_Health', '3_Fintech', '2_DevOps']"
Nicole Walker,"['14_COVID-19', '24_Quantum', '10_Communication', '9_Cybersecurity', '15_Music/Art', '2_DevOps']"
Walter Owens,"['3_Fintech', '17_Low/No Code', '19_Education', '2_DevOps', '5_AR/VR', '11_Productivity', '13_Social Good', '18_Design', '8_Voice skills', '26_Mobile', '20_E-commerce/Retail', '24_Quantum', '1_Blockchain', '21_Enterprise', '23_Beginner Friendly', '14_COVID-19', '27_Robotic Process Automation', '22_Open Ended', '28_Databases', '7_IoT', '25_Web']"
Bradley Mcdaniel,"['15_Music/Art', '23_Beginner Friendly', '2_DevOps', '6_Machine Learning/AI', '24_Quantum', '9_Cybersecurity', '7_IoT', '26_Mobile', '22_Open Ended', '21_Enterprise']"
Anthony King,"['11_Productivity', '5_AR/VR', '10_Communication', '20_E-commerce/Retail', '4_Gaming', '23_Beginner Friendly', '22_Open Ended', '25_Web', '24_Quantum', '28_Databases', '17_Low/No Code', '15_Music/Art', '16_Health', '8_Voice skills', '12_Lifehacks', '13_Social Good', '19_Education', '3_Fintech', '2_DevOps', '14_COVID-19', '7_IoT', '6_Machine Learning/AI', '26_Mobile']"
Evelyn Brown,"['14_COVID-19', '26_Mobile', '4_Gaming', '22_Open Ended', '16_Health', '2_DevOps', '6_Machine Learning/AI', '5_AR/VR']"
Carrie Mitchell,"['11_Productivity', '7_IoT', '22_Open Ended', '24_Quantum', '17_Low/No Code', '16_Health', '2_DevOps', '20_E-commerce/Retail', '8_Voice skills', '26_Mobile', '5_AR/VR', '21_Enterprise']"
Joshua Turner,"['9_Cybersecurity', '14_COVID-19', '4_Gaming', '8_Voice skills', '23_Beginner Friendly', '10_Communication', '18_Design', '19_Education', '28_Databases']"
Norma Sims,"['7_IoT', '21_Enterprise', '22_Open Ended']"
Robert Calderon,"['23_Beginner Friendly', '15_Music/Art', '26_Mobile', '19_Education', '5_AR/VR', '16_Health', '25_Web', '22_Open Ended', '13_Social Good', '12_Lifehacks', '27_Robotic Process Automation', '7_IoT', '9_Cybersecurity', '2_DevOps', '11_Productivity', '4_Gaming', '14_COVID-19', '17_Low/No Code', '3_Fintech', '18_Design', '21_Enterprise', '20_E-commerce/Retail', '10_Communication', '8_Voice skills']"
Sandra Thompson,"['4_Gaming', '16_Health', '25_Web', '26_Mobile', '8_Voice skills', '13_Social Good', '21_Enterprise', '12_Lifehacks', '5_AR/VR', '7_IoT', '17_Low/No Code', '23_Beginner Friendly']"
Elizabeth Baker,"['16_Health', '11_Productivity', '21_Enterprise', '24_Quantum', '15_Music/Art', '26_Mobile', '23_Beginner Friendly', '10_Communication', '3_Fintech', '4_Gaming', '27_Robotic Process Automation', '17_Low/No Code', '13_Social Good', '20_E-commerce/Retail', '6_Machine Learning/AI', '18_Design', '5_AR/VR', '25_Web', '28_Databases', '9_Cybersecurity', '14_COVID-19', '2_DevOps', '22_Open Ended', '1_Blockchain', '19_Education', '12_Lifehacks', '8_Voice skills']"
Christopher Bailey,"['15_Music/Art', '13_Social Good', '12_Lifehacks', '23_Beginner Friendly', '18_Design', '4_Gaming', '19_Education', '27_Robotic Process Automation', '22_Open Ended', '21_Enterprise', '20_E-commerce/Retail', '28_Databases', '10_Communication', '17_Low/No Code', '16_Health', '26_Mobile', '9_Cybersecurity', '2_DevOps']"
Shane Williams,"['27_Robotic Process Automation', '7_IoT', '19_Education', '5_AR/VR', '21_Enterprise', '12_Lifehacks', '17_Low/No Code', '1_Blockchain', '10_Communication', '16_Health', '8_Voice skills', '3_Fintech', '25_Web', '15_Music/Art', '18_Design']"
James Hancock,"['14_COVID-19', '17_Low/No Code', '13_Social Good', '8_Voice skills', '4_Gaming', '2_DevOps', '24_Quantum']"
Erika Gregory,"['23_Beginner Friendly', '3_Fintech', '24_Quantum', '2_DevOps', '1_Blockchain', '28_Databases', '18_Design', '16_Health', '13_Social Good', '25_Web', '20_E-commerce/Retail', '4_Gaming', '27_Robotic Process Automation', '7_IoT', '21_Enterprise', '14_COVID-19', '26_Mobile', '9_Cybersecurity', '6_Machine Learning/AI', '5_AR/VR', '19_Education', '15_Music/Art', '17_Low/No Code', '8_Voice skills', '10_Communication', '12_Lifehacks']"
David Horton,"['19_Education', '8_Voice skills', '14_COVID-19', '18_Design', '5_AR/VR', '10_Communication', '17_Low/No Code', '2_DevOps', '28_Databases', '7_IoT', '21_Enterprise', '26_Mobile']"
Michael Rojas,"['20_E-commerce/Retail', '17_Low/No Code']"
Deborah Taylor,"['21_Enterprise', '16_Health', '9_Cybersecurity', '14_COVID-19', '15_Music/Art', '19_Education', '3_Fintech', '7_IoT']"
Jay Guerrero,"['4_Gaming', '12_Lifehacks', '23_Beginner Friendly', '24_Quantum', '20_E-commerce/Retail', '28_Databases', '9_Cybersecurity', '15_Music/Art', '27_Robotic Process Automation', '16_Health', '25_Web', '8_Voice skills', '21_Enterprise', '22_Open Ended', '5_AR/VR', '6_Machine Learning/AI', '19_Education', '7_IoT', '2_DevOps', '17_Low/No Code', '14_COVID-19']"
Dominique Jones,"['8_Voice skills', '15_Music/Art', '16_Health', '22_Open Ended']"
Mr. George Williams,['2_DevOps']
Jessica Zimmerman,"['23_Beginner Friendly', '17_Low/No Code', '27_Robotic Process Automation', '8_Voice skills', '1_Blockchain', '15_Music/Art', '18_Design', '5_AR/VR', '12_Lifehacks', '20_E-commerce/Retail', '13_Social Good', '9_Cybersecurity', '3_Fintech', '7_IoT']"
Janet Williams,"['18_Design', '20_E-commerce/Retail', '10_Communication', '28_Databases', '5_AR/VR', '6_Machine Learning/AI', '1_Blockchain', '19_Education', '22_Open Ended', '27_Robotic Process Automation']"
Christina Stevenson,['5_AR/VR']
Amanda Quinn,"['5_AR/VR', '11_Productivity', '27_Robotic Process Automation', '6_Machine Learning/AI', '15_Music/Art', '2_DevOps', '10_Communication', '24_Quantum', '22_Open Ended', '14_COVID-19', '16_Health', '26_Mobile', '3_Fintech', '19_Education', '12_Lifehacks', '18_Design', '20_E-commerce/Retail', '9_Cybersecurity', '1_Blockchain', '21_Enterprise', '28_Databases', '4_Gaming', '23_Beginner Friendly', '8_Voice skills', '13_Social Good']"
Brittany Baldwin,"['8_Voice skills', '27_Robotic Process Automation', '11_Productivity', '23_Beginner Friendly']"
Kimberly Hamilton,"['26_Mobile', '15_Music/Art', '1_Blockchain', '12_Lifehacks', '16_Health', '20_E-commerce/Retail', '3_Fintech', '7_IoT', '4_Gaming', '5_AR/VR', '10_Communication', '18_Design', '19_Education', '2_DevOps']"
Christopher Ward,"['14_COVID-19', '16_Health', '10_Communication', '21_Enterprise', '26_Mobile', '18_Design', '13_Social Good', '17_Low/No Code', '11_Productivity', '7_IoT', '12_Lifehacks', '3_Fintech', '19_Education', '28_Databases', '23_Beginner Friendly', '2_DevOps', '9_Cybersecurity', '27_Robotic Process Automation', '22_Open Ended', '5_AR/VR', '20_E-commerce/Retail', '6_Machine Learning/AI']"
Sarah Fitzgerald,"['21_Enterprise', '14_COVID-19', '16_Health', '25_Web', '20_E-commerce/Retail', '13_Social Good', '11_Productivity', '24_Quantum', '2_DevOps', '4_Gaming', '15_Music/Art', '22_Open Ended', '12_Lifehacks', '18_Design', '17_Low/No Code', '9_Cybersecurity', '3_Fintech', '26_Mobile', '5_AR/VR', '8_Voice skills', '27_Robotic Process Automation', '19_Education', '10_Communication', '23_Beginner Friendly']"
Crystal Smith,"['24_Quantum', '1_Blockchain', '3_Fintech']"
Pamela Arroyo,"['21_Enterprise', '6_Machine Learning/AI', '14_COVID-19', '4_Gaming', '7_IoT', '22_Open Ended', '12_Lifehacks', '28_Databases', '8_Voice skills', '27_Robotic Process Automation', '19_Education', '15_Music/Art', '16_Health', '25_Web', '2_DevOps', '5_AR/VR']"
William Rivera,"['1_Blockchain', '18_Design', '19_Education', '16_Health', '13_Social Good', '10_Communication', '25_Web']"
Alicia Bauer,['28_Databases']
Theresa Moore,"['4_Gaming', '11_Productivity', '1_Blockchain', '22_Open Ended', '24_Quantum', '17_Low/No Code', '27_Robotic Process Automation', '19_Education', '26_Mobile']"
Joshua Russell,"['3_Fintech', '5_AR/VR', '7_IoT']"
Dwayne Osborne,"['21_Enterprise', '23_Beginner Friendly', '27_Robotic Process Automation', '28_Databases', '20_E-commerce/Retail', '25_Web', '14_COVID-19', '2_DevOps', '22_Open Ended', '19_Education', '4_Gaming', '9_Cybersecurity', '12_Lifehacks', '26_Mobile', '3_Fintech', '24_Quantum', '13_Social Good', '18_Design', '11_Productivity', '7_IoT', '10_Communication', '5_AR/VR', '16_Health', '15_Music/Art', '17_Low/No Code', '8_Voice skills', '1_Blockchain']"
Cynthia Calhoun,"['28_Databases', '6_Machine Learning/AI', '14_COVID-19', '9_Cybersecurity', '12_Lifehacks', '5_AR/VR', '3_Fintech', '11_Productivity', '18_Design', '8_Voice skills', '17_Low/No Code', '13_Social Good', '21_Enterprise', '23_Beginner Friendly', '22_Open Ended', '26_Mobile', '20_E-commerce/Retail', '19_Education', '2_DevOps', '15_Music/Art']"
Randy Peterson,"['3_Fintech', '16_Health', '20_E-commerce/Retail', '1_Blockchain', '12_Lifehacks', '23_Beginner Friendly', '24_Quantum', '19_Education', '4_Gaming', '15_Music/Art']"
Miss Jacqueline Brown,"['22_Open Ended', '15_Music/Art', '7_IoT', '1_Blockchain', '9_Cybersecurity', '13_Social Good', '24_Quantum', '17_Low/No Code', '18_Design', '28_Databases', '3_Fintech', '20_E-commerce/Retail', '26_Mobile', '23_Beginner Friendly', '25_Web', '11_Productivity']"
Travis Andrews,"['11_Productivity', '2_DevOps', '14_COVID-19']"
Christy Warren,"['22_Open Ended', '15_Music/Art', '13_Social Good', '10_Communication', '8_Voice skills', '24_Quantum', '16_Health', '9_Cybersecurity', '4_Gaming', '18_Design', '27_Robotic Process Automation', '7_IoT', '23_Beginner Friendly', '3_Fintech', '1_Blockchain', '28_Databases', '5_AR/VR', '12_Lifehacks', '2_DevOps', '14_COVID-19', '19_Education', '11_Productivity', '21_Enterprise', '26_Mobile', '6_Machine Learning/AI', '17_Low/No Code', '25_Web', '20_E-commerce/Retail']"
Teresa Wagner,"['13_Social Good', '18_Design', '4_Gaming', '9_Cybersecurity', '26_Mobile', '10_Communication', '5_AR/VR', '20_E-commerce/Retail', '16_Health', '1_Blockchain', '27_Robotic Process Automation', '15_Music/Art', '23_Beginner Friendly', '2_DevOps', '7_IoT', '24_Quantum', '8_Voice skills', '19_Education', '6_Machine Learning/AI']"
Emma Aguilar,"['22_Open Ended', '12_Lifehacks', '6_Machine Learning/AI', '20_E-commerce/Retail', '21_Enterprise', '2_DevOps', '26_Mobile', '9_Cybersecurity', '1_Blockchain', '16_Health', '25_Web', '19_Education', '13_Social Good', '8_Voice skills', '7_IoT', '23_Beginner Friendly', '10_Communication', '14_COVID-19', '17_Low/No Code']"
Anne Martin,"['24_Quantum', '16_Health', '8_Voice skills', '15_Music/Art']"
Dennis Lopez,"['7_IoT', '4_Gaming', '19_Education', '9_Cybersecurity', '25_Web', '11_Productivity', '5_AR/VR', '6_Machine Learning/AI', '18_Design', '20_E-commerce/Retail', '16_Health', '12_Lifehacks', '21_Enterprise', '1_Blockchain', '26_Mobile', '14_COVID-19', '24_Quantum', '17_Low/No Code', '3_Fintech', '10_Communication', '8_Voice skills', '28_Databases', '13_Social Good', '2_DevOps', '22_Open Ended', '27_Robotic Process Automation']"
Brent Hernandez,"['27_Robotic Process Automation', '23_Beginner Friendly', '18_Design', '6_Machine Learning/AI', '1_Blockchain', '8_Voice skills', '16_Health', '9_Cybersecurity', '14_COVID-19', '2_DevOps', '15_Music/Art', '20_E-commerce/Retail', '19_Education', '17_Low/No Code', '12_Lifehacks']"
Cassie West,"['8_Voice skills', '10_Communication', '24_Quantum', '7_IoT', '25_Web', '20_E-commerce/Retail', '26_Mobile', '13_Social Good', '2_DevOps', '1_Blockchain', '3_Fintech', '28_Databases', '5_AR/VR', '9_Cybersecurity', '16_Health', '17_Low/No Code', '19_Education', '14_COVID-19']"
Robert Adams,"['26_Mobile', '21_Enterprise', '2_DevOps', '4_Gaming', '24_Quantum', '9_Cybersecurity', '17_Low/No Code', '19_Education', '8_Voice skills', '6_Machine Learning/AI', '27_Robotic Process Automation', '20_E-commerce/Retail', '23_Beginner Friendly', '25_Web', '13_Social Good', '28_Databases', '18_Design', '3_Fintech', '22_Open Ended', '12_Lifehacks', '10_Communication', '15_Music/Art', '7_IoT']"
Sabrina Gutierrez,"['25_Web', '28_Databases', '22_Open Ended', '7_IoT', '26_Mobile', '14_COVID-19', '16_Health', '11_Productivity', '15_Music/Art', '18_Design', '6_Machine Learning/AI']"
Christopher Stevens,"['10_Communication', '24_Quantum']"
Mary Willis,"['8_Voice skills', '4_Gaming', '19_Education', '5_AR/VR', '7_IoT', '24_Quantum', '16_Health', '27_Robotic Process Automation', '23_Beginner Friendly', '9_Cybersecurity', '18_Design', '20_E-commerce/Retail', '25_Web']"
Aaron Taylor,"['25_Web', '10_Communication', '12_Lifehacks', '3_Fintech', '5_AR/VR', '23_Beginner Friendly', '24_Quantum', '21_Enterprise', '2_DevOps', '26_Mobile', '9_Cybersecurity', '4_Gaming', '16_Health']"
Wayne Bradley,"['21_Enterprise', '12_Lifehacks', '17_Low/No Code', '7_IoT', '2_DevOps', '27_Robotic Process Automation', '18_Design', '25_Web', '10_Communication', '28_Databases', '4_Gaming', '24_Quantum', '22_Open Ended', '1_Blockchain', '6_Machine Learning/AI', '13_Social Good', '11_Productivity']"
Sarah Ferrell,"['19_Education', '5_AR/VR', '12_Lifehacks', '3_Fintech', '15_Music/Art', '6_Machine Learning/AI', '8_Voice skills', '11_Productivity', '14_COVID-19', '21_Enterprise', '27_Robotic Process Automation', '17_Low/No Code', '4_Gaming', '20_E-commerce/Retail', '28_Databases', '23_Beginner Friendly', '25_Web', '18_Design', '22_Open Ended', '10_Communication', '9_Cybersecurity']"
Michael Jordan,"['8_Voice skills', '26_Mobile', '2_DevOps', '25_Web', '4_Gaming', '10_Communication', '7_IoT', '14_COVID-19', '12_Lifehacks', '28_Databases']"
Lisa Powell,"['11_Productivity', '27_Robotic Process Automation', '9_Cybersecurity', '12_Lifehacks', '18_Design', '2_DevOps', '26_Mobile']"
Sarah Snyder,"['28_Databases', '4_Gaming', '21_Enterprise', '26_Mobile', '14_COVID-19', '25_Web', '15_Music/Art', '6_Machine Learning/AI', '24_Quantum', '8_Voice skills', '20_E-commerce/Retail', '27_Robotic Process Automation', '1_Blockchain', '17_Low/No Code']"
Jamie Sullivan,"['19_Education', '27_Robotic Process Automation', '2_DevOps', '8_Voice skills', '20_E-commerce/Retail', '23_Beginner Friendly', '4_Gaming']"
Christopher Greer,"['11_Productivity', '15_Music/Art', '7_IoT', '24_Quantum', '17_Low/No Code', '21_Enterprise', '27_Robotic Process Automation', '22_Open Ended', '2_DevOps', '4_Gaming', '26_Mobile', '8_Voice skills', '5_AR/VR', '16_Health', '12_Lifehacks', '9_Cybersecurity']"
Marcus Moore,"['1_Blockchain', '16_Health', '11_Productivity', '13_Social Good', '20_E-commerce/Retail', '27_Robotic Process Automation', '12_Lifehacks', '8_Voice skills', '19_Education', '26_Mobile', '3_Fintech', '24_Quantum', '5_AR/VR', '21_Enterprise', '25_Web']"
Crystal Martinez,"['18_Design', '8_Voice skills', '6_Machine Learning/AI', '3_Fintech', '15_Music/Art', '20_E-commerce/Retail', '7_IoT', '28_Databases', '12_Lifehacks', '23_Beginner Friendly', '25_Web', '17_Low/No Code', '13_Social Good', '14_COVID-19', '2_DevOps', '19_Education', '26_Mobile', '4_Gaming', '21_Enterprise', '11_Productivity']"
Tanner Kramer,"['18_Design', '21_Enterprise', '14_COVID-19', '22_Open Ended', '20_E-commerce/Retail', '11_Productivity', '7_IoT', '4_Gaming', '9_Cybersecurity', '27_Robotic Process Automation', '6_Machine Learning/AI', '15_Music/Art', '19_Education', '26_Mobile', '24_Quantum', '28_Databases', '23_Beginner Friendly', '16_Health', '13_Social Good', '1_Blockchain', '25_Web', '3_Fintech', '10_Communication', '5_AR/VR', '12_Lifehacks', '2_DevOps', '17_Low/No Code']"
Sean Romero,"['25_Web', '6_Machine Learning/AI', '4_Gaming', '11_Productivity', '19_Education']"
Keith Johnson,"['24_Quantum', '25_Web', '16_Health', '4_Gaming', '28_Databases', '10_Communication']"
Denise Brooks,"['9_Cybersecurity', '8_Voice skills', '24_Quantum', '22_Open Ended', '20_E-commerce/Retail', '25_Web', '6_Machine Learning/AI', '12_Lifehacks', '2_DevOps', '7_IoT']"
Lisa Chung,"['19_Education', '11_Productivity', '24_Quantum', '12_Lifehacks', '20_E-commerce/Retail', '21_Enterprise', '1_Blockchain', '15_Music/Art', '10_Communication', '16_Health']"
Aaron Christian,"['13_Social Good', '2_DevOps']"
Brandi King,['1_Blockchain']
Laura Spencer,"['23_Beginner Friendly', '18_Design', '7_IoT', '17_Low/No Code', '20_E-commerce/Retail', '27_Robotic Process Automation', '13_Social Good', '12_Lifehacks', '25_Web']"
Stephanie Price,"['27_Robotic Process Automation', '13_Social Good', '24_Quantum', '20_E-commerce/Retail', '17_Low/No Code', '3_Fintech', '9_Cybersecurity', '4_Gaming', '1_Blockchain', '7_IoT', '19_Education', '23_Beginner Friendly', '12_Lifehacks', '6_Machine Learning/AI', '18_Design', '26_Mobile', '28_Databases', '25_Web', '5_AR/VR', '10_Communication', '2_DevOps', '21_Enterprise', '15_Music/Art', '11_Productivity', '8_Voice skills', '22_Open Ended']"
Sheila Friedman,"['2_DevOps', '3_Fintech', '24_Quantum', '5_AR/VR', '26_Mobile', '27_Robotic Process Automation', '15_Music/Art', '23_Beginner Friendly', '16_Health', '12_Lifehacks', '10_Communication', '17_Low/No Code', '22_Open Ended', '6_Machine Learning/AI', '20_E-commerce/Retail', '28_Databases', '11_Productivity', '18_Design', '25_Web', '1_Blockchain', '21_Enterprise', '4_Gaming', '9_Cybersecurity']"
Dr. Rodney Harrison,"['4_Gaming', '13_Social Good', '20_E-commerce/Retail', '7_IoT', '3_Fintech', '23_Beginner Friendly', '28_Databases', '24_Quantum', '10_Communication', '18_Design', '9_Cybersecurity', '12_Lifehacks', '27_Robotic Process Automation', '21_Enterprise', '5_AR/VR', '17_Low/No Code', '15_Music/Art', '1_Blockchain', '25_Web', '8_Voice skills', '19_Education', '14_COVID-19', '11_Productivity', '2_DevOps', '6_Machine Learning/AI', '26_Mobile', '22_Open Ended', '16_Health']"
Brandy Garner,"['24_Quantum', '8_Voice skills', '26_Mobile', '15_Music/Art', '9_Cybersecurity', '7_IoT', '25_Web', '22_Open Ended', '5_AR/VR', '11_Productivity', '4_Gaming', '18_Design', '2_DevOps', '19_Education', '1_Blockchain', '3_Fintech', '27_Robotic Process Automation', '17_Low/No Code', '16_Health', '20_E-commerce/Retail']"
Ronald Cooper,"['17_Low/No Code', '26_Mobile', '15_Music/Art', '1_Blockchain', '28_Databases', '20_E-commerce/Retail', '27_Robotic Process Automation', '12_Lifehacks', '25_Web']"
Donna Jimenez,"['7_IoT', '3_Fintech', '27_Robotic Process Automation', '24_Quantum', '8_Voice skills', '25_Web', '19_Education', '6_Machine Learning/AI', '5_AR/VR', '2_DevOps', '16_Health', '28_Databases', '22_Open Ended', '20_E-commerce/Retail', '13_Social Good', '21_Enterprise', '9_Cybersecurity', '17_Low/No Code', '26_Mobile', '15_Music/Art', '10_Communication', '12_Lifehacks', '4_Gaming', '18_Design', '11_Productivity', '14_COVID-19']"
Zachary Allen,"['14_COVID-19', '3_Fintech', '13_Social Good', '1_Blockchain', '16_Health', '25_Web', '26_Mobile', '6_Machine Learning/AI', '15_Music/Art', '20_E-commerce/Retail', '8_Voice skills']"
Rhonda Arroyo,"['2_DevOps', '18_Design', '8_Voice skills']"
Kathleen David,"['9_Cybersecurity', '16_Health', '17_Low/No Code', '20_E-commerce/Retail', '23_Beginner Friendly', '6_Machine Learning/AI', '21_Enterprise', '4_Gaming', '22_Open Ended', '7_IoT', '26_Mobile', '24_Quantum', '11_Productivity', '14_COVID-19', '13_Social Good', '1_Blockchain', '28_Databases', '18_Design', '8_Voice skills', '5_AR/VR', '3_Fintech']"
Terry Harmon,"['9_Cybersecurity', '26_Mobile', '24_Quantum', '25_Web', '23_Beginner Friendly', '12_Lifehacks', '20_E-commerce/Retail', '10_Communication', '13_Social Good', '22_Open Ended', '27_Robotic Process Automation', '19_Education', '16_Health', '15_Music/Art', '5_AR/VR', '2_DevOps', '1_Blockchain', '28_Databases', '14_COVID-19', '8_Voice skills', '4_Gaming', '21_Enterprise', '18_Design', '3_Fintech', '17_Low/No Code', '6_Machine Learning/AI']"
Eduardo Shields,"['3_Fintech', '15_Music/Art']"
Devin Hernandez,"['10_Communication', '15_Music/Art', '8_Voice skills', '2_DevOps', '11_Productivity', '4_Gaming', '9_Cybersecurity', '12_Lifehacks', '1_Blockchain', '24_Quantum', '25_Web', '22_Open Ended', '17_Low/No Code', '23_Beginner Friendly', '21_Enterprise', '13_Social Good', '7_IoT', '5_AR/VR', '16_Health', '3_Fintech', '18_Design', '6_Machine Learning/AI', '20_E-commerce/Retail', '27_Robotic Process Automation', '19_Education', '28_Databases']"
Carlos Reed,"['23_Beginner Friendly', '14_COVID-19', '5_AR/VR', '22_Open Ended', '4_Gaming', '21_Enterprise', '6_Machine Learning/AI', '3_Fintech', '8_Voice skills', '16_Health', '18_Design', '20_E-commerce/Retail', '13_Social Good', '15_Music/Art']"
Leslie Moore,"['4_Gaming', '17_Low/No Code', '13_Social Good', '1_Blockchain', '2_DevOps', '24_Quantum', '9_Cybersecurity', '10_Communication', '14_COVID-19', '15_Music/Art', '25_Web', '16_Health', '22_Open Ended', '18_Design', '26_Mobile', '11_Productivity', '23_Beginner Friendly', '6_Machine Learning/AI', '5_AR/VR', '7_IoT']"
Zachary King,"['17_Low/No Code', '15_Music/Art', '12_Lifehacks', '22_Open Ended', '27_Robotic Process Automation', '19_Education', '26_Mobile']"
Cody Ramirez,"['10_Communication', '8_Voice skills', '15_Music/Art', '28_Databases', '5_AR/VR', '1_Blockchain', '12_Lifehacks', '22_Open Ended', '13_Social Good', '21_Enterprise', '16_Health', '11_Productivity', '19_Education', '7_IoT', '9_Cybersecurity', '20_E-commerce/Retail', '24_Quantum', '25_Web']"
Jacqueline Gutierrez,"['6_Machine Learning/AI', '2_DevOps', '20_E-commerce/Retail', '14_COVID-19', '9_Cybersecurity', '22_Open Ended', '24_Quantum', '12_Lifehacks', '18_Design', '4_Gaming', '27_Robotic Process Automation', '21_Enterprise', '5_AR/VR', '1_Blockchain', '17_Low/No Code', '3_Fintech', '11_Productivity', '26_Mobile', '25_Web', '19_Education', '7_IoT', '15_Music/Art', '10_Communication', '23_Beginner Friendly', '8_Voice skills', '13_Social Good', '16_Health']"
Kyle Warren,"['15_Music/Art', '16_Health', '10_Communication', '6_Machine Learning/AI', '14_COVID-19', '19_Education', '8_Voice skills', '9_Cybersecurity', '20_E-commerce/Retail', '5_AR/VR', '23_Beginner Friendly', '2_DevOps', '12_Lifehacks', '25_Web', '4_Gaming', '18_Design', '24_Quantum', '7_IoT']"
Brian Peters,"['27_Robotic Process Automation', '3_Fintech', '19_Education', '8_Voice skills', '9_Cybersecurity', '1_Blockchain']"
Amy Peterson,"['16_Health', '4_Gaming', '20_E-commerce/Retail', '28_Databases', '6_Machine Learning/AI', '11_Productivity', '27_Robotic Process Automation', '24_Quantum', '23_Beginner Friendly', '17_Low/No Code', '13_Social Good', '3_Fintech', '18_Design', '2_DevOps', '22_Open Ended', '7_IoT', '10_Communication', '9_Cybersecurity', '26_Mobile', '19_Education', '12_Lifehacks', '21_Enterprise', '15_Music/Art', '25_Web', '1_Blockchain', '5_AR/VR', '14_COVID-19']"
John Stewart,"['3_Fintech', '21_Enterprise', '17_Low/No Code', '15_Music/Art', '14_COVID-19', '25_Web', '23_Beginner Friendly', '5_AR/VR', '22_Open Ended', '16_Health', '28_Databases', '24_Quantum', '9_Cybersecurity', '8_Voice skills', '12_Lifehacks', '10_Communication', '13_Social Good', '27_Robotic Process Automation', '4_Gaming']"
Rebecca Wilson,"['18_Design', '4_Gaming', '1_Blockchain', '12_Lifehacks', '22_Open Ended', '26_Mobile', '27_Robotic Process Automation', '20_E-commerce/Retail', '7_IoT', '17_Low/No Code', '15_Music/Art']"
Michael Watkins,"['19_Education', '23_Beginner Friendly', '22_Open Ended', '7_IoT', '20_E-commerce/Retail', '5_AR/VR', '28_Databases', '8_Voice skills']"
Sheila Gardner,"['1_Blockchain', '9_Cybersecurity', '6_Machine Learning/AI', '19_Education', '15_Music/Art', '18_Design', '25_Web', '5_AR/VR', '4_Gaming', '10_Communication', '21_Enterprise', '26_Mobile', '11_Productivity', '17_Low/No Code', '13_Social Good', '16_Health', '8_Voice skills', '20_E-commerce/Retail', '23_Beginner Friendly', '22_Open Ended', '7_IoT', '24_Quantum', '12_Lifehacks', '3_Fintech', '14_COVID-19', '27_Robotic Process Automation', '2_DevOps', '28_Databases']"
Renee Hernandez,"['24_Quantum', '28_Databases', '27_Robotic Process Automation', '22_Open Ended', '21_Enterprise', '1_Blockchain', '17_Low/No Code', '7_IoT', '4_Gaming', '10_Communication', '6_Machine Learning/AI', '15_Music/Art', '18_Design', '13_Social Good', '2_DevOps', '20_E-commerce/Retail', '3_Fintech', '9_Cybersecurity', '26_Mobile', '19_Education', '14_COVID-19', '11_Productivity', '16_Health', '23_Beginner Friendly']"
James Diaz,"['23_Beginner Friendly', '16_Health', '18_Design', '8_Voice skills', '5_AR/VR', '9_Cybersecurity', '21_Enterprise', '15_Music/Art', '25_Web', '19_Education', '22_Open Ended', '24_Quantum', '10_Communication', '20_E-commerce/Retail', '17_Low/No Code', '4_Gaming', '13_Social Good', '7_IoT']"
Robert Black,"['4_Gaming', '10_Communication', '18_Design', '25_Web', '15_Music/Art', '2_DevOps', '16_Health', '17_Low/No Code', '9_Cybersecurity', '22_Open Ended', '27_Robotic Process Automation', '12_Lifehacks', '5_AR/VR', '11_Productivity']"
Sandra Morton,"['1_Blockchain', '8_Voice skills', '19_Education', '15_Music/Art', '4_Gaming', '2_DevOps', '28_Databases', '5_AR/VR', '16_Health', '17_Low/No Code', '9_Cybersecurity', '22_Open Ended', '10_Communication', '26_Mobile', '21_Enterprise', '3_Fintech', '23_Beginner Friendly', '24_Quantum', '18_Design', '7_IoT', '27_Robotic Process Automation', '13_Social Good', '6_Machine Learning/AI', '12_Lifehacks', '20_E-commerce/Retail', '11_Productivity', '25_Web']"
