,Recommendation1,Recommendation2,Recommendation3,Recommendation4,Recommendation5
Charles Cain,SPARKATHON,Ideate,The Green Plan 2030 Challenge,The Hackathon 2021,SFU Engineering Competition 2021
Sean Morrow,Google’s Immersive Geospatial Challenge,Treasure Hacks,Prototypical,WiE Hackathon 2022,HackUiet 2021
Justin Smith,API World Hackathon 2022,CodeXplode: Ignite the Coding Revolution,Pega Community Hackathon 2022,AWS Graviton Hackathon,WeMakeDevs <> Stream Hackathon
Kristin Campos,API World Hackathon 2022,tuwaiq bootcamp project,CPES Hack in Scratch 2022,WildHacks,Back To Hacking
Michael Velazquez MD,Hack for COVID,MarinaHacks 2022,HackRPI 2022,Rice Design-a-thon: Level Up!,Texas A&M Cybersecurity Club CTF Competition
Grace Davis,API World Hackathon 2022,Tech Takes On Mental Health Hackathon,MD Hacks,TechTogether Boston,New Delhi Zoohackathon 
Darrell Roberson,AR/VR Africa 2022 Metathon | Ethiopia,VR Summit Hackathon,HackQC 2022,MetroHacks 2022,hackTAMS Fall 2021
Danny Simpson,API World Hackathon 2022,"""Hello 8th Wall"" Workshop in Paris!",Bitcoin Hackathon for MFI & Education,Qubit 24Hr Hackathon,Open Web House Puerto Vallarta
Katrina Peterson,Google’s Immersive Geospatial Challenge,Uganda Zoohackathon 2019,CuseHacks Beta 2023,UPitch 2019,AI Games
Kenneth Perez,Google’s Immersive Geospatial Challenge,HackATL 2021,HackMorelos 12da Edicion,Columbia DivHacks 2020,Bring Down Counterfeiting 2022: Policy Hackathon
James Chang,HackUiet 2021,Kent Hack Enough 2022,DeepDiveHacks,WeMakeDevs <> Stream Hackathon,Hack Brooklyn 2021
Timothy Newton,API World Hackathon 2022,NextStep,The Freshworks Refresh App Challenge ,Web3 Stack Hack,Microsoft Azure Innovation Challenge 
Dr. Ian Cruz,API World Hackathon 2022,#ZiHack 9,Clarkathon 2023,Dementia - Our Common Challenge,DigiEduHack Barcelona
Richard Morales,API World Hackathon 2022,HackforNaija,Start Green Hackathon 2020,Hydrogen X Future Hackathon,Seerbit Future of Payment Hackathon 
Kaitlin Douglas,Ideate,Hack Your Path 4.0,The Green Plan 2030 Challenge,HackED Beta 2022,Intelligent Innovators Hackathon 2022
Thomas Reynolds,Facebook Developer Circle Hackathon - Los Angeles,Quick Base Virtual Hackathon,Appathon Nov'19,T-Mobile Hacktober 2019,Agora Video SDK Hackathon (Web)
James Miranda,HCI Hacks,CodeFest,HackRU Fall 2023,HackED 2022,AthenaHacks 2023
Sharon Castillo MD,TechTogether Boston,DemonHacks,Evergreen Grand Hackathon,IBM Z Datathon 2023,Codegeist Unleashed
Gregory Sanchez,HackMorelos 12da Edicion,PharmaHacks 2019,Training Camp 9,API 2019 Hackathon,Ink and Metal | STEM Olympics
Tyler Porter,Google’s Immersive Geospatial Challenge,VolHacks V,BRHackathon 2023,Treasure Hacks,VandyHacks IX
James Price,API World Hackathon 2022,UNT NSBEHack 2023,Give Back Hacks 2.0,"Equitable Elevation III - (Internship, Prestigious Article, 300K Non-Cash Prize)",KuriusHacks: Christmas Edition 2021
Veronica Bray,Golden Hack: Impact Weekend,Patriot_Hacks,SystemHacks 2021: ScuffedHacks,hackaTUM 2022,DevJams '21
Lisa Lowe,Liquid Hacks ,Twitch Dev Jam 2019,CS Week 3.0 Hackathon,The Brandeis Quant Club ML/AI Competition,Ultra Uniq NFT PFP Hackathon
Katelyn Edwards,Hello 8th Wall Workshop in Berlin!,INRIX Hack 2023,INRIX Amazon University Hack 2023,CrowdHacks,METAVERSE MASTERS
Anna Stewart,KuriusHacks: Christmas Edition 2021,them@iit,Datathon 2021,"""Jump In!"" Hackathon",TAMU Datathon 2022
Crystal Ponce,The GoldenHack 4.0,Beyond Code,HackWise 2020,Hack The Heights 5,North Shore Hacks
Ms. Amanda Davis,Google’s Immersive Geospatial Challenge,Hack Education ,HackEPS 2021,Hack the Game of GO,The Robots Are Coming
Gabriel Wilson,HackEPS 2021,HACKMRU,hackaTUM C0dev1d19,All Inclusive Hacks,AYLUS Humanity Hacks
Helen Hall,API World Hackathon 2022,XDC DeFi Hackathon,Bitcoin Bankathon,Cosmos HackAtom V,The Freshworks Refresh App Challenge 
James Smith,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Larry Donovan,Reconnect-Ed,Hacks of Kindness,Hack4Earth,HackPrinceton Fall 2022,SPARKATHON
Patrick Gonzalez,Google’s Immersive Geospatial Challenge,APP-A-THON (Virtual Hackathon),Inisio Hacks,HarvestHacks Bay Area,HackNJIT 2023
Steven Mathis,SkyHack 3.0,New Delhi Zoohackathon ,GDST Cologne Hackathon,Stanford's SLAC Program STEM Media Competition,Open Web House Puerto Vallarta
Christopher Young,Slimplicity: Slim.AI Hackathon,LETS HACK 2020,HVTechFest Hackathon,AWS Data Exchange for APIs Challenge,Luna Hacks  : Software Engineering 
Janet Aguirre,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
James Cannon,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Debra Aguilar,API World Hackathon 2022,Google Maps Platform Hackathon,Hack to the Future 2020,[EVENT CANCELLED] HP SCDS Hackathon - Heritage & Technology Edition,tuwaiq bootcamp project
Samantha Byrd,Google’s Immersive Geospatial Challenge,Cipher | Finals | UNNAT 2022,HackUiet 2021,jacobsHack! 2021,WebWonders Hackfest
Linda Davis,2. Provinzial Rheinland Hackathon: Future of Insurance,Girls in Tech Mental Health for All Hackathon,Sorobanathon: Road to Mainnet,AMD Code Jam,Legend Hacks
Michelle Nelson,Power Edo Bootcamp 2,WHACK 2021,Ada Hack 2022,2021 TeenTechSF Civic Hackathon - Devpost,Can data save the world?
Lisa Hopkins,Zoohackathon 2020 Asia,MecSimCalc Hackathon 4.0,Utonhack 2021 / Clover ,HackFit,MontyHacks V
Kenneth Keller,Campus2030,IDEAHACK,Hackathon Deacero 2020,Hackerslack,HACKMRU
Jordan Martinez,MLDA DLW Hackathon,TMLCC 2021,Datathon FME 2022,Databricks Asia Pacific LLM Cup 2023,ML4Earth Hackathon 2022 (online)
Thomas Martinez,Google’s Immersive Geospatial Challenge,Codestellation 2020,Spark2Code SpreadLOVE - Join Discord ASAP!,Golden Hack: Impact Weekend,Set the World on FHIR
Julie Gibson,DubHacks '21,WildHacks,GreatUniHack19,Impact Hacks,RowdyHacks 2022
Jason Bennett,Creations 2.0,Design~wave,Rice Design-a-thon: Level Up!,UX Scene Designathon 2022,SLAC WiSTEM Program Project Competition
Gabriela Short,API World Hackathon 2022,Global Hack Week December Day 1,Hack Education ,Global Hack Week December ,HackHolyoke 2021
David Castillo,Innovate Hacks,Hack Dearborn: Disrupt Reality,TigerHacks 2022,"Project Program - UW CSC, DSC",AI Hacks
Allison Cummings,API World Hackathon 2022,Steel City Hacks: Winter Hack 2022,MOBI Grand Challenge Phase II - Citopia,Digital EduHack South Asia 2021,GitX 2022 - PSG Tech
Jared Duran,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Jeffrey King,HackAttack,MarinaHacks 2022,Hack Upstate XV,Seerbit Future of Payment Hackathon ,Opportunity Hack 2021
Darren Campbell,Google’s Immersive Geospatial Challenge,Liquid Hacks 3.0,hackUMBC Fall 2020,Human DeFi Haeck,MD Hacks
Linda Noble,Google’s Immersive Geospatial Challenge,AT&T 5G Hackathon,Hack the Bronx 2,Global Hack Week December Day 2,Cybersecurity Hackathon- Secure Kenya
Kelly Miller,Bharat TechXperience,DemonHacks 2019,New Futures Hackathon for Water Security,NewHacks 2022,VizData Hacks 2
Joseph Nunez,INFINITE #0 (Genesis),NEXT BLOCK HACKATHON,#HackathonPune 2018 - Blockchain For Good,ETHWaterloo,IDEAS O2O Blockchain & Data Analytics Hackathon-New York
Brittney Johnson,Thailand champion,SHPE 2021 Innovation Challenge ,Amazon Aurora Database Challenge,DG Hack 01,KBTG Software Architecture Design and Development Hackathon 2019
Renee Cannon,YB Hackathon,DevFest Eket 2023 - Ecosolutions,Awaiken Hacks 2023,KuriusHacks: Christmas Edition 2021,Conrad Challenge Jr. Hackathon
Michael Jenkins,FOLLOW THE WHITE RABBIT HACKATHON 2021,hackTAMS Fall 2021,Liquid Hacks 3.0,Prompt Engineering Hackathon for Humanities,D3 Hackathon
James Cobb,Hack the Valley 7,hackUMBC Fall 2020,TechTogether Boston,Digital HackFair 2.0 | Bringing Technical Solutions to Empower Women,HealthX 2021
Tonya Barron,Hack4Goa,Interledger Hackathon - ILP Summit 2023 Edition,DigitalBits Blockchain Hackathon,Orange Inter-ODC Makeathon 2022,12th Named Data Networking (NDN) Hackathon
Kelly Ramsey,Smart City Hack,HackWise 2021,Girls In Tech Hack,End-to-End Encrypted Flutter/Dart Hackathon 2021 - Moving to Cal Hacks 8.0,ConHacks 2023
Thomas Marquez,API World Hackathon 2022,SingleStore Database Hackathon ,Diffusion 2019,Mixed Reality Challenge: StereoKit (C# and OpenXR),EduLearn Hackathon(✧Free Goodies for All!✧)
Jessica Schultz,API World Hackathon 2022,HackHW 2022,Kore.ai Botathon,Hack to the Future,TRON Grand Hackathon - Season 3
Stephanie Duncan,API World Hackathon 2022,Girls in Tech Mental Health for All Hackathon,Bitcoin Hackathon for MFI & Education,Castlethon 3.0,FemmeHacks 2023
Jeremy Sanchez,YouthCodeX,HackMorelos 12da Edicion,Liquid Hacks 3.0,Hack WashU,Decentralized Identity Foundation Hackathon
Sarah Peters,API World Hackathon 2022,ProjectCSGirls Fremont 2021 Hackathon,Celo's Make Crypto Mobile Hackathon,Google Maps Platform Hackathon,Hack This Fall 2.0
Andrew Anderson,Quipu Blockchain Hackathon,CasbahTech Hackathon,GDST Bali Trackathon,Loki Hackathon @ NY Blockchain Week,HackATL 2020
Michael Walker,GovTech Hackathon 2021,Hacks for Humanity,CharlestonHacks harborHack (in person only),INNOV8 Hackathon 2023,NEXT CREATE-A-THON
Shannon Todd,MecSimCalc Hackathon 3.0,Hack Brooklyn 2021,HackUTA 2022,hackNYUAD,HackNJIT 2023
Matthew Mcneil,Miami Buildathon,Bitcoin Hackathon for MFI & Education,Stellar Meridian Hackathon 2020,COMIT Hackathon - Atomic Swaps for your Application,Honeycomb Smart Contract Hackathon
Gina Jennings,Kijiji Internal Hackathon,ONE Record Hackathon Toronto - Hosted by Air Canada Cargo & IBM,HackSussex,India Innovation Series - Delhi NCR,Nokathon 
Justin Kelly,API World Hackathon 2022,Kore.ai Botathon,XDC DeFi Hackathon,Turn Language into Action: A Natural Language Hackathon for Good,HackSussex
Jeffrey Alvarado,Bharat TechXperience,MY Streamlit Hack,Hackathon 2023 - #Tech4Good,Brook Codes 2021,Girls In Tech Hack
Julie Thomas,Sunflower Hackathon,12th Named Data Networking (NDN) Hackathon,Ideathon: Innovative Ideas,Snap Kit Developer Challenge 2020,Castlethon 3.0
Nicole Finley,Google’s Immersive Geospatial Challenge,Oxfam/IFRAD Hackathon,NASA Space Apps Challenge Mountain View,CodeUp-Hack-22,Beyond Code
John Fernandez,Build The World with Dolby.io Hackathon,Chainlink Fall 2022 Hackathon,Metis Ethereum Hackathon,Start Green Hackathon 2020,Bitcoin Hackathon for MFI & Education
Michele Smith,EthiopiaHacks v9,Hack the Change 2023,NextStep,Outside LLMs,TriHacks
Scott Richards,Google’s Immersive Geospatial Challenge,BlockHack Hackathon,ClockHacks,"Cornucodia ($17k+ in prizes, internship opportunities)",NewHacks 2022
Jennifer Clark,2020 Tunisian Smart Cities Online Hackathon,HarvestHacks Bay Area,HackUTA 2022,Ultra Uniq NFT PFP Hackathon,Human DeFi Haeck
Zachary Taylor,SHPE 2020 Innovation Challenge,Girls in Tech Virtual Hackathon: Fall 2020 Challenge,MOBI Grand Challenge Phase II - Citopia,Dementia - Our Common Challenge,Gagnaþon Ríkiskaupa
Katherine James,AstonHack8,ForgeMcGill ,Snap Developer Challenge 2021,The 6-week Smart Contract Hackathon,Snap Kit Developer Challenge 2020
Angela Cordova,API World Hackathon 2022,Cyber Hacks,AT&T Next Gen TV Hackathon,FuturistFest 2021,Hack4Earth
Adrian Barnes DDS,"Motor City Hack on Mobility, Health and Well-being",Future of Regenerative Cities GITEX GLOBAL - DevSlam 2023,Codestellation 2020,BostonHacks 2020,HackWise 2020
Patrick Saunders,Atlanta Sci-fi Film Festival's (ASCIFFF) Game Jam,LEC Hacks 2.0,SF Hacks Code Jam 2023 V2,Fall 2022 GT WebDev Hackathon,2021 Calgary Youth Hackathon
Walter Johnson,Westview Hacks,HackRPI,AstonHack8,The Freshworks Refresh App Challenge ,Clarkathon 2023
Kayla Hernandez,TVCOG Smart Cities Hackathon,CPES Hack in Scratch 2022,Brook Codes 2022,Northumbrian Water Data Hacks #IF2021,GreatUniHack 2022
Kevin Ramirez,API World Hackathon 2022,PoweringSTEMHacks2,Beyond Code,Hopeathon Hawaii Has Been Cancelled Due to COVID,NSBEHacks UofT 2019 (Inaugural)
Colleen Cruz,Google’s Immersive Geospatial Challenge,NextStep,Hacks of Kindness,Hack the Valley V,CrimsonCode Hackathon
Gina Holloway,Google’s Immersive Geospatial Challenge,Hackamental,Hacking for Humanity - Tech para la educación sexual,Med-Tech Hackathon,New Futures Hackathon for Water Security
Brandon Moore,Devfest'22 Algiers,TeenHacks LI Fall 2020,MLDA DLW Hackathon,IoT Hackday 2020 - CANCELLED,Voicehacks Hackathon
Kristy Brown,API World Hackathon 2022,HackWise 2020,6ixBits,Hacking 4 Humanity COVID19,CodeXplode: Ignite the Coding Revolution
Karen Flores PhD,Courier Hacks: Feature Focus,Alexa Skills Challenge: In-Skill Purchasing,Twitch Dev Jam 2019,AI & Music festival hackathon,EVMxIdeathon
Jeffrey Beck,Tigre Hacks,NOVATHON,HackUIowa '22,METAVERSE MASTERS,Facebook Developer Circle Hackathon - Los Angeles
Pamela Mcclure,Accessibility for All: Hacking for an Inclusive Future,ETH Panama Hackathon 2022,CYHacks '22,Bitcoin Bankathon,Cyber Hacks
Jeffrey Johnson,Hack Your Path 4.0,BusinessMeetsTech IdeaHack! 2022,The Green Plan 2030 Challenge,Kent Hack Enough 2022,5G Innovation Hackathon
James Cooper,Hack Spartan 2023,Lockgenix,Cybersecurity Hackathon- Secure Kenya,Design-a-thon,DemonHacks
Robert Lopez,Polyana App 2020,DevFest'19 jeddah ,Lehman Hacks,Hack Upstate XV,Beyond Code
Kimberly Morgan,Miami Buildathon,MontyHacks VI,Filipino Startup Incubator for Social Good,HackTable2020,TEDAI Multimodal Hackathon (23 Labs)
Candice Simpson,API World Hackathon 2022,Strike: A Virtual Lightning Hackathon,Torus 4 Everyone,API World Hackathon 2021,Metis Ethereum Hackathon
Scott Rivera,SPARKATHON,Cosmos HackAtom V,Fall 2022 BeaverHacks Life-Hackathon ,Orange Inter-ODC Makeathon 2022,HACC 2022
Zachary Austin,API World Hackathon 2022,Beyond Code,D3 Hackathon,Facebook Developer Circles London: Building Conversational AI for Messenger,GPT Plugins (S)Hackathon
Kelly Callahan,API World Hackathon 2022,STEM JAM,Hacks4Health,Ensenada Hackathon 2022,TiE University APP-A-THON 2022
Karina Meyer,hackUMBC Fall 2020,Castlethon 3.0,CS Week 3.0 Hackathon,HB DApps Hackathon 2019,Kin Crypto Challenge
Hannah Grant,SHPE 2021 Cyber Security Challenge Sponsored by NSA and Raytheon ,NUSH HACK 2022,Azure Sentinel Hackathon 2021,Cyber Defenders Hackathon,MindHack'23 - Gebze Teknik Universitesi
Whitney Steele,SunflowerHack2021,MadurAIOpenTecHackathon,AR/VR Africa 2022 Metathon | Ethiopia,FOLLOW THE WHITE RABBIT HACKATHON 2021,HackEPS2020
Jennifer Lynch,Microsoft Student Summit Africa Hackathon,HackSussex,Cosmos HackAtom VI ,Hack to the Future 2020,Metis Ethereum Hackathon
Hannah Adams,API World Hackathon 2022,Open Web House Puerto Vallarta,hackUMBC Fall 2020,Qubit 24Hr Hackathon,INRIX Hack 2023
Hannah Cooke,2021 Calgary Youth Hackathon,5G Edge Computing Challenge with AWS,sHacks v2.05 (pre-alpha release) FINAL (1).docx,Hack Plaksha,T-Mobile Hacktober 2019
Cindy Clayton,Dementia - Our Common Challenge,bitsxlaMarató 2021,bitsxlaMarató 2022,hackMCST VI,ELC Hackathon 2021: Hack4A11y
Mrs. Mary Hammond,API World Hackathon 2022,5G Edge Computing Challenge with AWS,Сarcheckvin,Constellation: A Chainlink Hackathon,Qubit 24Hr Hackathon
Robert Parker,API World Hackathon 2022,SchoolHacks,Longhorn Hack for Humanity 2022,BostonHacks 2021,Cutie Hack 2020: Stay At Home
Tiffany Johnson,Hopeathon Hawaii Has Been Cancelled Due to COVID,Fitch 2022 Codeathon for Education,CPES Hack in Scratch 2022,Alexa Skills Challenge: In-Skill Purchasing,MHacks
Ebony Wilson,"Sunshine State Hackathon, Florida, Oct.21-23",DevFest Algiers 2021 Hackathon,MuleSoft Hackathon 2021,Machine Hacks,Kore.ai Botathon
Veronica Hunt,Build The World with Dolby.io Hackathon,Courier Hacks: Open Source,T-Mobile Hacktober 2019,Outsourcing Accounting Services,Ensenada Hackathon 2022
Jerry Perry,Stanford's SLAC Program STEM Media Competition,TIQC x Code Resolve x Girls Who Code Hacks,Au{T9}umn Hacks,CodeDAO Web3 Hackathon,Carolina Hacks
Yesenia Thompson,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Jeffrey Hale,Pitt Challenge 2021,2. Provinzial Rheinland Hackathon: Future of Insurance,Fremont Hacks,DesignMerced,California Artificial Intelligence Summit (GCL)
Russell Little,Kore.ai Botathon,AzConf2021 - COVID19 Hackathon,HackRPI Fall 2020,Ideahack! - WHU`s Hackathon ,HR Hackathon: Embrace distributed teams and remote HR
Seth Stanley,Google’s Immersive Geospatial Challenge,VTHacks X,Hack Dearborn: Disrupt Reality,HackATL 2021,AI in Education Hackathon by ASU ScaleU
Joshua Krause,Google’s Immersive Geospatial Challenge,BioMedTech Baja Hackathon,Design-a-thon,Hackdemonium 2.0,NewHacks 2022
Michael Atkinson,Hack The Runway ,NNHSHacks,UGAHacks Makeathon,HackSmith 2021,2022 FOOD SYSTEMS CHALLENGE HACK
Brenda Harper,1st PHYSICS Hackathon,AI Art Competition Sydney Australia,Spooky Software Hackathon,Hack At Home,HackLBS
Jennifer Aguilar,MarinaHacks 2022,HackFromHome - Round 2,The python coders,Blueprint Datathon,CORONATOR
Erik Stokes,API World Hackathon 2022,SFU Engineering Competition 2021,1st PHYSICS Hackathon,Hackathon Bojonegoro,DigiEduHack Barcelona
Jerry Martinez MD,Google’s Immersive Geospatial Challenge,Facebook Developer Circle Hackathon - Los Angeles,Hackathon 2023 - #Tech4Good,Ingenium,MHacks 14
Crystal Morton,HackAttack,Hack Upstate XV,"Sunshine State Hackathon, Florida, Oct.21-23",Post Covid Hack 2020,SharkHack's MiniHack
David Parker,#ZiHack 10,Facebook Developer Circles London: Building Conversational AI for Messenger,Nokathon ,hackMCST VII,Spark2Code SpreadLOVE - Join Discord ASAP!
Sue Horne,Amplitude London Hackathon,QuackHacks Spring 2023,INRIX Hack,Carolina Hacks,jacobsHack! 2021
Paul Fox,Google’s Immersive Geospatial Challenge,Investment Week La Hackathon 2023 ,Boston University Welcome Back MiniHack,Ingenium,"Motor City Hack on Mobility, Health and Well-being"
John Zuniga,Hack Your Path 4.0,HVTechFest Hackathon,Hajj and Umrah Challenge - تحدي الحج والعمرة,IBM Z Datathon 2023,hackaTUM C0dev1d19
Michael Dickerson,API World Hackathon 2022,AYLUS Humanity Hacks,POSTPONED! -- Lopes Giving Back Hack 2022,ChargerHacks 2023,SMU LIT Hackathon 2022
David Walker,San Diego Zoohackathon 2019,McGill Physics Hackathon 2019,uXperience | Think Privacy,Zoohackathon Brasil 2019 - Estudantes unidos contra o tráfico de animais,IEEE Open Hacks
Charles Arnold,Hack Your Path 4.0,The Green Plan 2030 Challenge,Hackattack by Systems,University of Florida Gator Hackathon  Discord https://discord.gg/5935yp7ety ,Joint Aston-SIT AI/ML Hackathon
Alexander Hall,Castlethon 3.0,Hack APAC - “The New Normal is Yours!”,Opportunity Hack 2021,Сarcheckvin,Micro Hack 2023
Jennifer Stephenson,Uberposition,Cybersecurity Hackathon- Secure Kenya,NightHacks,Girls Hoo Hack 2023,MetroHacks 2021
Dana Castro,SkyHack 2023,The Civicode,AzConf2021 - COVID19 Hackathon,Bring Down Counterfeiting 2022: Policy Hackathon,Step into STEM
Lauren Jackson,Cipher | Finals | UNNAT 2022,LEC Hacks,CodeRED Odyssey,GDSC Minerva DevFest on Campus | Hackathon,CrimsonCode Hackathon
William Evans,Stanford's SLAC Program STEM Media Competition,HackLBS,Hack4Goa,Сarcheckvin,Civiso Designathon 2022
Rebecca Harmon,API World Hackathon 2022,WyoHackathon 2020,New Delhi Zoohackathon ,Hack At Home,Patriot_Hacks
Rachel Boone,Genius Challenge,Microsoft Student Summit Africa 2021 Hackathon,Ensenada Hackathon 2022,Outside LLMs,Ink and Metal | STEM Olympics
Christopher Wagner,API World Hackathon 2022,HackSussex,Hack the Valley 8,Girls in Tech Mental Health for All Hackathon,NextStep
Joseph Snyder,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Brady Smith,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Angela Nixon,Google’s Immersive Geospatial Challenge,METAVERSE MASTERS,Hack Education ,Liquid Hacks 2.0,HackUTA 2022
Dr. Joanna Hill,Intelligent Innovators Hackathon 2022,SacHacks IV,IDEAHACK,HACK THE 5G CITY: A NEW ERA OF CITY SERVICES ON 5G,Hackadon 2020 - COVID-19 ONLINE EDITION
Gregory Foster,Google’s Immersive Geospatial Challenge,The Robots Are Coming,YB Hackathon,ProjectCSGirls Fremont 2021 Hackathon,Fremont Hacks
Stephanie Moore,Quick Base Virtual Hackathon,Hack Plaksha,UX Scene Designathon 2022,sHacks v2.05 (pre-alpha release) FINAL (1).docx,AUIB Hackathon 
Daniel Williams,2nd Annual Ithaca College code{a}thon,UGAHacks Makeathon,HackTCNJ 2021,PlutoHacks 2023,Girls In Tech Hack
Kayla Jones,2022 WHS GWC x Robotics Hackathon,Micro Hack 2023,Post Covid Hack 2020,Decentralized Identity Foundation Hackathon,The GoldenHack 4.0
Jerry Strickland,API World Hackathon 2022,PlutoHacks 2023,Hacks of Kindness,DevFest Eket 2023 - Ecosolutions,Hack the Valley V
Brandy Sims,Inspire2Dev Summer Hackathon,Conrad Challenge Jr. Hackathon,CYHacks '23,Metis Ethereum Hackathon,Prototypical
Alexis Hernandez,API World Hackathon 2022,RALLYtoUS + VetsinTech Online Hackathon,Ingenium,DemonHacks 2019,Girls in Tech NYC ClimateHack 2023
Holly Stuart,Square + Google AI Hackathon,12th Named Data Networking (NDN) Hackathon,Devfest'22 Algiers,Data Natives Hackathon ,Cybersecurity Hackathon- Secure Kenya
Melissa Anderson,API World Hackathon 2022,HackTX 2022,Hack the Valley 7,Technica 2021,DubHacks '22
Nicholas Bass,HR Hackathon: Embrace distributed teams and remote HR,BostonHacks 2021,RALLYtoUS + VetsinTech Online Hackathon,Castlethon 3.0,DesignMerced
James Wells,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
John Phillips,MATLAB Hackathon Uniroma2,tuwaiq bootcamp project,CodeXplode: Ignite the Coding Revolution,AstonHack8,Fitch 2022 Codeathon for Education
Susan Bailey,API World Hackathon 2022,Hack the Valley V,Foursquare Places Hackathon,TiE University APP-A-THON 2022,Blockstack Can't Be Evil Contest: Part 3
Jamie Riley,API World Hackathon 2022,Intellothon,Tech Takes On Mental Health Hackathon,WyoHackathon 2020,Girls Hoo Hack 2022
Kathryn Craig,Hack Your Path 4.0,The Hackathon 2021,ForgeMcGill ,The Green Plan 2030 Challenge,NUSH HACK 2022
Sarah Lopez,Hacking for Humanity - Tech para la educación sexual,Hack Your Learning - SchulichHacks 2023,DemonHacks 2019,SPARKATHON,BioMedEngX
Jose Hicks,TIQC x Code Resolve x Girls Who Code Hacks,Hackadtech - open hackathon by AdTech Holding,Qubit 24Hr Hackathon,UofA Blueprint Hackathon,Stanford's SLAC Program STEM Media Competition
Kelly Mccullough,Google’s Immersive Geospatial Challenge,Dashathon,Dataverse Datathon '21,ConHacks 2023,HackRPI Fall 2020
Katie Mckenzie,API World Hackathon 2022,MuleSoft Hackathon 2021,Hack to the Future,Privacy4Web3 Hackathon,Pega Community Hackathon 2022
Glenn Hamilton,HackTable2020,HackUIowa '23,DesignMerced,INRIX Amazon University Hack 2023,HackUIowa '22
Matthew Williams,2nd Annual Ithaca College code{a}thon,Loki Hackathon @ NY Blockchain Week,Quipu Blockchain Hackathon,GDST Bali Trackathon,MinorityProgrammers: ElectionHackathon
Tracy Ellis,HackLBS,Call for Startups,HackathonX,Twitch Dev Jam 2019,UX Scene Designathon 2022
Dakota Garcia,Devfest Ikot-Ekpene 2022,D Incuvator,CodeXplode: Ignite the Coding Revolution,uXperience | Think Privacy,DesignMerced
Riley Smith,API World Hackathon 2022,AWS Graviton Hackathon,Web3 Stack Hack,Microsoft Azure Innovation Challenge ,IvyHacks: First Ivy League Hackathon
Teresa Lopez,API World Hackathon 2022,Med-Tech Hackathon,Facebook Developer Circle Hackathon - Los Angeles,CodeRED Artemis,SCEhacks
Vincent Ward,API World Hackathon 2022,CodeXplode: Ignite the Coding Revolution,Pega Community Hackathon 2022,AWS Graviton Hackathon,WeMakeDevs <> Stream Hackathon
Alexa Ewing,Nylas and AI: Email and Calendaring for the Future,Simple Javascript,Japan LawTech SOAR: Embracing Society 5.0,loomSDK Holiday Hack,IIT Madras RP & IC's Student Hackathon - November 2022
Lawrence Hebert,CharlestonHacks harborHack (in person only),Hacks and Crafts 2,Vivid Hacks RICI,AR/VR Africa 2022 Metathon | Ethiopia,Steel City Hacks: Winter Hack 2022
Emily Short,Hack4Goa,"""Hello 8th Wall"" Workshop in Paris!",Hello 8th Wall Workshop in Berlin!,2023 PICO Dev Jam,RESEARCH EXPO INDUSTRIAL
Jonathan Cox,HCI Hacks,CodeFest,HackRU Fall 2023,HackED 2022,AthenaHacks 2023
Kevin Casey,API World Hackathon 2022,Cisco Meraki Global Hackathon 2022,GreatUniHack19,SCEhacks,STEM JAM
Patricia Smith,Westview Hacks,Ably Realtime Experiences Hackathon,MY Streamlit Hack,Thailand champion,Transitioning From Web 2 to Web 3 Learnathon
Heather Clark,BRHackathon 2023,Campus Hack,Opportunity Hack 2021,TigerHacks,HackCamp 2022
Christina Lopez,Horror Hacks,Snap Kit Developer Challenge 2020,Build The World with Dolby.io Hackathon,XRPL Hackathon: NFT Launch Party,SWC Hacks
Matthew Carr,API World Hackathon 2022,"""Hello 8th Wall"" Workshop in Paris!",Inspire2Dev Summer Hackathon,AR VR FEST HACKATHON,Hack-A-League
Laurie Shepard,DeveloperWeek Enterprise 2022 Hackathon,AI Blockchain,API World Hackathon 2022,Call for Startups,INRIX Hack
Susan Brown,Cisco Meraki Global Hackathon 2022,1st PHYSICS Hackathon,Texas A&M Cybersecurity Club CTF Competition,Rice Design-a-thon: Level Up!,HackRPI 2022
Amanda Holland,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Kathryn Barnes,Google’s Immersive Geospatial Challenge,DandyHacks'22,Sales Kickoff - Americas' Hackathon,Fall 2022 BeaverHacks Life-Hackathon ,Sales Kickoff - International Hackathon
